Date Published,Shortcode,Map Marker,Story Summary,Clusters,History,Location,Page + Discussion?,Address,Map Location,Longitude,Latitude,Year,timelineStart,timelineEnd,Story Type,Category 1,Category 2,Category 3,Category 4,Category 5,Notes,On the Map?,Permanent Link,Image
9/24/2020,TRUE,,FALSE,A Dam Tower in the Kickapoo Valley Reserve,Wisconsin's Ancient History in the Kickapoo Valley,"La Farge, WI",Page + Discussion,"S3661 WI-131, La Farge, WI 54638","43.595815, -90.627968",-90.627468,43.595705,"Between 10,000 BCE and 1,150 CE/Prehistoric",-10000,-1150,Related,Nature & Environment,Politics Society & Government,Ethnicity & Identity,Education,,,,https://wi101.wisc.edu/2020/09/24/ancient-history-in-wisconsin-2/,
9/24/2020,TRUE,,FALSE,Sterling Safety Bicycle ,Wisconsin Bicycle Tourism,All over WI,Page + Discussion,,,0,0,1890s,1890,1899,Related,Transportation & Tourism,Nature & Environment,,,,,No,https://wi101.wisc.edu/2020/09/24/reed-2/,
9/10/2020,TRUE,TRUE,TRUE,Bark Spud,Bark Spud,"Medford, WI",Page + Discussion,,"45.148430, -90.364719",-90.365092,45.148712,1883,1883,1883,Object,Manufacturing & Trade,Global Connections,Nature & Environment,Clothing & Fashion,,,,https://wi101.wisc.edu/2020/09/10/object-history-bark-spud/,
9/10/2020,TRUE,TRUE,TRUE,Mepps Fishing Lure,Mepps Fishing Lure,"Antigo, WI",Page + Discussion,,"45.142581, -89.139686",-89.138759,45.141891,1930s,1930,1939,Object,Manufacturing & Trade,Global Connections,Nature & Environment,Art Sport & Entertainment,,,,https://wi101.wisc.edu/2020/09/10/object-history-mepps-fishing-lure/,
9/10/2020,TRUE,TRUE,FALSE,Migrant Worker's Cabin,Piano and Song Recital Poster,"Milwaukee, WI",Page + Discussion,"813 E Kilbourn Ave, Milwaukee, WI 53202","43.042420, -87.901530",-87.901538,43.042492,1889,1889,1889,Object,Art Sport & Entertainment,Ethnicity & Identity,,,,,,https://wi101.wisc.edu/2020/09/10/object-history-p…g-recital-poster/,
9/10/2020,TRUE,TRUE,FALSE,Migrant Worker's Cabin,Migrant Worker's Cabin,"Oconto, WI",Page + Discussion,Van Hecke Ave.,"44.899374, -87.895777",-87.895371,44.898794,1920s-2004,1920,2004,Object,Home Furnishings,Manufacturing & Trade,Nature & Environment,,,,,https://wi101.wisc.edu/2020/09/10/object-history-m…nt-workers-cabin/,
5/9/18,TRUE,TRUE,TRUE,Jolly Good Soda,Jolly Good Soda,"Random Lake, WI",,,"43.555803, -87.964250",-87.964359,43.55581,1960s-2007,1960,2007,Object,Manufacturing & Trade,Food & Cooking,,,,,,https://wi101.wisc.edu/2018/05/09/object-history-jolly-good-soda/,
9/10/2020,TRUE,,TRUE,N/A,Log-Marking Hammer,(No single location),Page + Discussion,,,0,0,1840s-1890s,1840,1890,Wisc Hist Museum Mini Tour,Manufacturing & Trade,Nature & Environment,,,,,,https://wi101.wisc.edu/2020/09/10/object-history-log-marking-hammer/,
9/10/2020,TRUE,,TRUE,N/A,Fiddle,(no single location),Page + Discussion,,,0,0,1840s,1840,1849,Wisc Hist Museum Mini Tour,Art Sport & Entertainment,Manufacturing & Trade,,,,,,https://wi101.wisc.edu/2020/09/10/object-history-fiddle/,
9/10/2020,TRUE,TRUE,TRUE,N/A,Plank Roads,"Greenbush, WI",Page + Discussion,,"43.774127, -88.076814",-88.076778,43.77394,1850s,1850,1859,Wade House Mini Tour,Transportation & Tourism,Nature & Environment,,,,,,https://wi101.wisc.edu/2020/09/10/object-history-plank-roads/,
